Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,,전날 종가와 오늘 시가의 오차
2021-05-27,423.92,424.38,419.78,423,311198517,-0.0013,0,-0.54,1.71E+13,1.90E+15,-0.001274968,-0.190201854,49.11237201,422.708,423.7165,421.149,432.1493009,415.2836991,2.95,0.88
2021-05-28,423.88,427.51,423.58,425.95,203179394,0.007,1,2.95,9.90E+12,1.92E+15,0.006973995,0.07181753,52.88530253,423.482,423.64,421.2436667,431.9618772,415.3181228,1.96,0.36
2021-05-31,426.31,428.18,424.29,427.91,230909559,0.0046,1,1.96,1.00E+13,1.92E+15,0.004601479,0.361256949,55.25882176,424.95,423.7215,421.4726667,432.1760686,415.2669314,2.41,0.17
2021-06-01,428.08,432.18,426.94,430.32,225690364,0.0056,1,2.41,9.73E+12,1.94E+15,0.005632025,0.680604394,58.05679536,426.144,424.1195,421.778,433.0180066,415.2209934,0.17,0.28
2021-06-02,430.6,433.06,429.14,430.15,292515040,-0.0004,0,-0.17,1.20E+13,1.94E+15,-0.000395055,0.835756081,57.78229209,427.466,424.609,422.1415,433.7013922,415.5166078,3.72,0.05
2021-06-03,430.2,435.6,430.2,433.87,219810187,0.0086,1,3.72,1.09E+13,1.95E+15,0.008648146,1.126205595,62.01471059,429.64,425.124,422.6095,435.0511353,415.1968647,1.65,0.17
2021-06-04,433.7,433.7,429.33,432.22,290325082,-0.0038,0,-1.65,1.11E+13,1.94E+15,-0.003802982,1.140963619,59.18071077,430.894,425.403,423.0885,435.787972,415.018028,1.04,0.6
2021-06-07,432.82,435.77,430.76,433.26,337933848,0.0024,1,1.04,1.30E+13,1.95E+15,0.002406182,1.151218945,60.40882172,431.964,425.638,423.4591667,436.4998555,414.7761445,0.38,0.05
2021-06-08,433.21,435.02,431.71,432.88,323675386,-0.0009,0,-0.38,1.25E+13,1.95E+15,-0.000877072,1.064869523,59.70202236,432.476,425.5005,423.7383333,435.9132604,415.0877396,4.72,0.53
2021-06-09,432.35,432.53,428.16,428.16,248515249,-0.0109,0,-4.72,1.10E+13,1.93E+15,-0.010903715,0.643100982,51.62262525,432.078,425.47,423.9713333,435.8477897,415.0922103,1.19,0.07
2021-06-10,428.23,430.87,427.5,429.35,267081109,0.0028,1,1.19,1.36E+13,1.93E+15,0.002779335,0.408904676,53.33717688,431.174,425.8445,424.172,436.2147449,415.4742551,3.43,0.26
2021-06-11,429.61,433.42,429.61,432.78,328904073,0.008,1,3.43,1.26E+13,1.98E+15,0.00798882,0.446571559,57.96187559,431.286,426.68,424.4848333,436.4402152,416.9197848,0.44,0.08
2021-06-14,432.7,433.59,431.28,433.22,236258893,0.001,1,0.44,9.68E+12,1.98E+15,0.001016683,0.460829822,58.52967265,431.278,427.3325,424.7541667,437.0091252,417.6558748,0.91,0.19
2021-06-15,433.41,434.99,432.48,434.13,336105779,0.0021,1,0.91,9.81E+12,1.98E+15,0.002100549,0.48861255,59.74079603,431.528,428.1255,425.1078333,437.2872192,418.9637808,2.83,0.06
2021-06-16,434.19,437.47,433.88,436.96,306886295,0.0065,1,2.83,1.01E+13,1.99E+15,0.006518785,0.644832002,63.32769286,433.288,428.819,425.5131667,438.4393823,419.1986177,2.23,0.35
2021-06-17,436.61,436.63,432.78,434.73,200549079,-0.0051,0,-2.23,9.79E+12,1.98E+15,-0.005103442,0.548976742,58.87628668,434.364,429.4715,425.9468333,438.8333188,420.1096812,0.29,0.09
2021-06-18,434.82,436.69,434.39,435.02,230152442,0.0007,1,0.29,1.19E+13,1.99E+15,0.000667081,0.45972011,59.27717123,434.812,430.1185,426.4121667,439.1295782,421.1074218,3.56,0.45
2021-06-21,434.57,434.57,429.52,431.46,242429356,-0.0082,0,-3.56,1.12E+13,1.97E+15,-0.008183532,0.13253255,52.51002032,434.46,430.663,426.7943333,438.5458145,422.7801855,2.96,0.64
2021-06-22,432.1,435.05,432.1,434.42,483816378,0.0069,1,2.96,1.07E+13,1.98E+15,0.006860427,0.089155306,56.91432807,434.518,431.1665,427.1531667,438.6482733,423.6847267,2.31,0.23
2021-06-23,434.65,437.37,434.62,436.73,372077406,0.0053,1,2.31,1.29E+13,1.99E+15,0.005317435,0.184254091,60.02975411,434.472,431.826,427.5645,438.8113401,424.8406599,1.65,0.81
2021-06-24,437.54,439.37,436.96,438.38,299669858,0.0038,1,1.65,1.48E+13,2.00E+15,0.003778078,0.318622124,62.13581001,435.202,432.595,427.9273333,438.8751959,426.3148041,2.02,0.38
2021-06-25,438.76,442.31,438.75,440.4,367173192,0.0046,1,2.02,1.36E+13,2.01E+15,0.004607874,0.493445897,64.59530552,436.278,433.3175,428.35,439.6975654,426.9374346,0.42,0.38
2021-06-28,440.78,441.54,438.55,439.98,237759349,-0.001,0,-0.42,9.58E+12,2.01E+15,-0.000953678,0.52762223,63.66926539,437.982,433.921,428.6926667,440.4231501,427.4188499,2.44,0.5
2021-06-29,440.48,440.6,436.17,437.54,231752905,-0.0055,0,-2.44,1.08E+13,2.00E+15,-0.005545707,0.341737655,58.42867621,438.606,434.282,428.9226667,440.7459511,427.8180489,1.3,0.22
2021-06-30,437.76,440.4,437.7,438.84,167361900,0.003,1,1.3,9.74E+12,2.00E+15,0.002971157,0.265566715,60.30341858,439.028,434.7165,429.1558333,441.1793083,428.2536917,2.5,0.17
2021-07-01,439.01,439.26,435.8,436.34,172562942,-0.0057,0,-2.5,1.12E+13,1.99E+15,-0.005696837,0.01904276,55.15239589,438.62,434.84,429.3301667,441.3277361,428.3522639,0.34,0.03
2021-07-02,436.31,438.07,435.54,436,197297363,-0.0008,0,-0.34,9.08E+12,1.99E+15,-0.000779209,-0.18352922,54.47093652,437.74,435.029,429.4851667,441.419937,428.638063,1.66,0.53
2021-07-05,436.53,438.92,436.53,437.66,180179826,0.0038,1,1.66,1.03E+13,2.00E+15,0.003807339,-0.219880167,57.24836067,437.276,435.249,429.6651667,441.6839853,428.8140147,1.84,0.3
2021-07-06,437.96,440.68,437.96,439.5,194159350,0.0042,1,1.84,9.72E+12,2.01E+15,0.004204177,-0.138153084,60.15020432,437.668,435.58,429.9185,442.172614,428.987386,2.53,0.21
