Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,,
2019-03-06,280.09,280.26,278.72,279.85,75225423,-0.0021,2,-0.6,3.54415E+12,1.23973E+15,-0.002139419,-1.456569651,44.50212232,283.074,285.2485,274.2443333,291.0483285,279.4486715,278.87,0.98,0.52
2019-03-07,279.33,280.98,277.44,278.87,78636297,-0.0035,2,-0.98,3.64718E+12,1.2341E+15,-0.003501876,-1.596373498,42.67474946,281.096,284.9025,274.3373333,291.3241474,278.4808526,274.84,4.03,1.69
2019-03-08,277.18,278,274.84,274.84,71640389,-0.0145,2,-4.03,3.30483E+12,1.21669E+15,-0.014451178,-1.881727023,36.10847223,279.304,284.362,274.3931667,292.121383,276.602617,275.06,0.22,0.66
2019-03-11,275.5,276.28,273.88,275.06,64827413,0.0008,1,0.22,3.0044E+12,1.21698E+15,0.000800466,-1.967835655,36.68124573,277.814,284.0405,274.5245,292.7267155,275.3542845,277.73,2.67,2.35
2019-03-12,277.41,278.48,276.94,277.73,63959075,0.0097,1,2.67,2.97682E+12,1.22775E+15,0.009706973,-1.763709119,43.32213704,277.27,283.822,274.682,292.9033404,274.7406596,276,1.73,0.81
2019-03-13,276.92,277.12,274.04,276,61494895,-0.0062,2,-1.73,2.84258E+12,1.22152E+15,-0.006229071,-1.665147325,40.3678724,276.5,283.4375,274.8595,293.1386667,273.7363333,276.64,0.64,0.79
2019-03-14,276.79,277.4,274.78,276.64,95821503,0.0023,1,0.64,4.54664E+12,1.22451E+15,0.002318841,-1.482875166,41.94510916,276.054,283.021,275.0586667,293.1299186,272.9120814,279.87,3.23,0.22
2019-03-15,276.42,280.5,276.31,279.87,123126129,0.0117,1,3.23,5.25038E+12,1.23843E+15,0.011675824,-1.089022459,49.24186001,277.06,282.5805,275.2486667,292.4291029,272.7318971,279.93,0.06,0.4
2019-03-18,280.27,280.77,278.92,279.93,60901379,0.0002,1,0.06,2.88039E+12,1.23945E+15,0.000214385,-0.783021464,49.36916318,278.034,282.378,275.424,292.269626,272.486374,279.82,0.11,0.37
2019-03-19,280.3,280.4,278.63,279.82,55394656,-0.0004,2,-0.11,2.61182E+12,1.23876E+15,-0.000392955,-0.557189638,49.12590347,278.452,282.074,275.6618333,291.8873774,272.2606226,279.92,0.1,0.98
2019-03-20,278.84,280.07,276.34,279.92,61168125,0.0004,1,0.1,2.84945E+12,1.23841E+15,0.000357373,-0.378773113,49.37014141,279.236,281.8245,275.8883333,291.5903967,272.0586033,282.38,2.46,1.22
2019-03-21,281.14,284.39,280.63,282.38,97092920,0.0088,1,2.46,4.85825E+12,1.245E+15,0.008788225,-0.087955482,55.08292399,280.384,281.5235,276.175,290.8199838,272.2270162,283.13,0.75,1.54
2019-03-22,283.92,284.55,282.09,283.13,117733859,0.0027,1,0.75,5.62947E+12,1.24639E+15,0.002655995,0.149140107,56.68751702,281.036,281.2595,276.4386667,290.0445566,272.4744434,277.45,5.68,4.01
2019-03-25,279.12,279.21,277.19,277.45,77320301,-0.0201,2,-5.68,3.09595E+12,1.22214E+15,-0.020061456,-0.070552681,43.89764035,280.54,280.695,276.6493333,288.9177404,272.4722596,277.6,0.15,0.98
2019-03-26,278.43,278.49,276.91,277.6,65750906,0.0005,1,0.15,3.04924E+12,1.22356E+15,0.000540638,-0.192817131,44.25533287,280.096,280.125,276.8583333,287.5030119,272.7469881,277.28,0.32,0.59
2019-03-27,277.01,278.16,274.87,277.28,67774293,-0.0012,2,-0.32,3.09659E+12,1.22162E+15,-0.001152738,-0.277160915,43.61644826,279.568,279.5945,277.0721667,286.1419498,273.0470502,275.08,2.2,2.26
2019-03-28,275.02,276.2,273.9,275.08,66916887,-0.0079,2,-2.2,2.9751E+12,1.21213E+15,-0.007934218,-0.452660821,39.40470156,278.108,278.9105,277.3071667,284.2276928,273.5933072,276.48,1.4,1.25
2019-03-29,276.33,277.01,274.32,276.48,82279150,0.0051,1,1.4,3.80133E+12,1.21882E+15,0.005089429,-0.445320329,43.16577592,276.778,278.5445,277.5723333,283.4574155,273.6315845,280.32,3.84,1.93
2019-04-01,278.41,280.93,278.41,280.32,76673645,0.0139,1,3.84,3.27549E+12,1.23541E+15,0.013888889,-0.167033742,51.97141113,277.352,278.435,277.878,283.0798057,273.7901943,281.72,1.4,1.35
2019-04-02,281.67,282.47,281,281.72,72184617,0.005,1,1.4,3.2185E+12,1.24091E+15,0.004994292,0.111153968,54.7255476,278.176,278.4985,278.2695,283.2843428,273.7126572,285.65,3.93,0.16
2019-04-03,281.88,285.65,281.22,285.65,91589821,0.014,1,3.93,4.26713E+12,1.2571E+15,0.013950021,0.535901992,61.41451121,279.85,278.7885,278.7675,284.4833548,273.0936452,286.15,0.5,0.36
2019-04-04,285.29,287.75,284.97,286.15,73802701,0.0018,1,0.5,3.60495E+12,1.25877E+15,0.001750394,0.810129172,62.18008717,282.064,279.1525,279.2385,285.6899609,272.6150391,286.68,0.53,0.12
